transaction_id,customer_id,account_id,amount,merchant,transaction_type,country,device_id,transaction_time,fraud_flag
10007,34,1044,94204.59,Nike,NET BANKING,Uk,Mobile,2026-05-07T02:52:18.000Z,INTERNATIONAL
10017,59,1104,23116.86,Amazon,NET BANKING,Germany,Mobile,2026-04-28T00:26:05.000Z,INTERNATIONAL
10025,17,1035,28456.25,Apple Store,NET BANKING,Uk,ATM,2026-05-08T20:46:01.000Z,INTERNATIONAL
10043,76,1083,32839.28,Petrol Pump,CARD,Usa,ATM,2026-04-29T06:46:18.000Z,INTERNATIONAL
10055,46,1004,65537.83,Flipkart,CARD,Germany,Tablet,2026-05-12T16:15:02.000Z,INTERNATIONAL
10064,67,1190,85761.79,Amazon,NET BANKING,India,Laptop,2026-04-23T15:44:32.000Z,NORMAL
10075,8,1195,11172.47,Apple Store,UPI,Germany,Tablet,2026-05-09T02:40:45.000Z,INTERNATIONAL
10095,85,1067,26260.9,Amazon,UPI,Russia,ATM,2026-05-01T19:34:46.000Z,INTERNATIONAL
10112,36,1130,95588.73,Zomato,ATM WITHDRAWAL,India,Tablet,2026-05-01T19:17:48.000Z,NORMAL
10121,66,1057,4595.49,Nike,ATM WITHDRAWAL,Germany,Tablet,2026-05-15T13:41:21.000Z,INTERNATIONAL
10130,53,1128,30236.16,Uber,UPI,Singapore,ATM,2026-05-05T11:32:38.000Z,INTERNATIONAL
10164,72,1104,8820.28,Apple Store,UPI,Uk,Laptop,2026-04-24T06:13:35.000Z,INTERNATIONAL
10165,79,1015,49272.96,Uber,NET BANKING,Germany,Laptop,2026-05-06T16:42:57.000Z,INTERNATIONAL
10168,37,1024,49907.75,Netflix,ATM WITHDRAWAL,Germany,Mobile,2026-05-08T00:51:53.000Z,INTERNATIONAL
10174,89,1027,33724.91,Walmart,UPI,Russia,Laptop,2026-05-08T08:48:40.000Z,INTERNATIONAL
10183,99,1009,83292.28,Netflix,ATM WITHDRAWAL,Uk,Laptop,2026-04-24T01:40:00.000Z,INTERNATIONAL
10197,13,1103,87887.25,Netflix,CARD,India,Tablet,2026-04-19T09:37:29.000Z,NORMAL
10212,6,1005,79468.69,Petrol Pump,ATM WITHDRAWAL,Russia,Laptop,2026-05-03T01:03:20.000Z,INTERNATIONAL
10213,19,1116,42818.41,Flipkart,UPI,Usa,Mobile,2026-05-13T19:58:15.000Z,INTERNATIONAL
10220,68,1142,70187.04,Uber,UPI,India,Laptop,2026-04-18T12:41:19.000Z,NORMAL
10222,99,1107,44447.82,Petrol Pump,UPI,Russia,Laptop,2026-05-01T06:38:14.000Z,INTERNATIONAL
10223,94,1074,24509.07,Zomato,CARD,Singapore,Tablet,2026-04-26T07:24:01.000Z,INTERNATIONAL
