customer_id,total_transactions,avg_transaction_amount,max_transaction_amount,min_transaction_amount,high_amount_transactions,night_transactions,international_transactions,risk_score,risk_category
31,80,48660.22,98277.45,645.99,36,17,69,4180,HIGH
85,86,53430.97,99265.83,1792.28,51,20,69,4690,HIGH
65,80,53330.88,99318.82,862.67,46,23,64,4400,HIGH
53,87,48952.29,99968.72,314.55,43,25,72,4670,HIGH
78,83,54483.33,99077.67,248.17,49,23,69,4690,HIGH
34,65,50437.64,99606.75,508.49,35,17,56,3630,HIGH
81,103,48226.6,99864.88,866.2,51,31,84,5510,HIGH
28,78,53404.45,97989.87,733.81,42,19,56,3880,HIGH
76,86,54538.01,97544.73,1002.53,46,14,68,4380,HIGH
27,75,57525.78,98782.16,3162.13,46,24,62,4340,HIGH
26,89,53306.57,98692.84,532.04,48,22,67,4560,HIGH
44,71,49767.06,98993.49,885.24,36,16,64,3960,HIGH
12,92,51688.31,99387.55,983.24,49,23,71,4770,HIGH
91,82,46836.3,98895.92,2687.72,33,22,61,3870,HIGH
22,83,53211.34,99713.42,2621.8,44,20,56,3960,HIGH
93,68,48602.72,96510.91,2887.27,34,13,52,3360,HIGH
47,81,53680.78,99559.08,139.4,48,23,66,4540,HIGH
1,96,53740.84,98807.6,3724.23,53,21,71,4850,HIGH
52,82,49191.22,96347.87,1183.97,42,26,66,4420,HIGH
13,83,54013.13,99955.2,3852.42,45,23,68,4530,HIGH
86,93,50778.9,99712.17,2647.7,45,26,75,4870,HIGH
16,89,49524.01,99875.74,523.85,43,15,65,4190,HIGH
6,70,50739.73,96684.98,1000.61,39,24,57,3930,HIGH
3,93,50952.14,99183.57,101.06,53,30,78,5310,HIGH
20,87,51122.39,98643.45,561.42,39,22,70,4410,HIGH
40,78,50401.31,96154.63,3147.04,40,18,61,4000,HIGH
94,90,44671.16,98215.28,1416.1,38,17,67,4160,HIGH
57,89,49680.12,99494.72,3338.76,48,24,73,4840,HIGH
54,78,52594.28,99433.15,625.25,43,22,55,3930,HIGH
96,75,49079.28,99382.74,1291.37,36,22,52,3600,HIGH
48,64,49753.12,98400.12,114.83,34,19,51,3440,HIGH
5,73,46222.39,99215.66,1907.99,32,21,62,3860,HIGH
19,77,52845.43,96145.49,2002.63,40,17,60,3940,HIGH
92,86,47832.05,99947.06,1173.8,39,22,71,4450,HIGH
64,106,48323.49,99501.9,140.06,58,29,79,5480,HIGH
41,93,54406.96,99578.08,663.21,57,18,81,5310,HIGH
43,78,51303.98,99956.03,3195.25,40,18,65,4160,HIGH
15,85,52191.2,99468.75,819.72,47,20,72,4690,HIGH
37,73,55975.09,98275.92,1909.92,42,18,57,3900,HIGH
61,70,51270.77,98443.26,2205.48,35,23,53,3630,HIGH
88,82,49210.61,99857.07,4093.23,38,22,60,3980,HIGH
17,88,46973.68,98522.29,996.98,45,25,71,4690,HIGH
9,81,51460.99,97576.81,1020.36,41,29,67,4490,HIGH
72,85,43504.09,94488.92,550.28,35,17,72,4270,HIGH
35,87,53213.48,99727.73,1225.43,48,29,68,4740,HIGH
55,84,49312.27,99759.66,598.02,43,22,69,4490,HIGH
4,73,49097.4,97867.7,379.38,37,16,69,4190,HIGH
59,90,49520.44,99472.28,2387.81,42,25,68,4480,HIGH
100,71,52266.49,99959.76,696.75,36,24,51,3600,HIGH
8,81,54240.86,99028.88,1909.52,47,20,73,4730,HIGH
23,77,51483.07,99818.18,1048.13,41,19,61,4050,HIGH
39,99,50716.67,98474.54,313.15,48,18,78,4920,HIGH
49,102,50441.74,98678.99,1551.27,50,27,90,5640,HIGH
7,82,55480.95,99773.96,1703.91,48,17,59,4140,HIGH
84,74,48596.77,99156.89,1744.04,33,16,60,3710,HIGH
87,98,48082.66,98764.64,552.98,48,32,72,4960,HIGH
51,77,49790.08,98981.31,2330.47,37,24,62,4070,HIGH
69,80,54297.14,98321.0,818.76,43,18,68,4370,HIGH
97,82,48710.94,99427.61,1371.24,40,21,61,4060,HIGH
63,67,53017.74,97006.92,279.75,41,19,60,4010,HIGH
77,69,49875.25,96817.28,265.7,35,30,58,3970,HIGH
10,84,48644.21,99816.98,666.29,39,27,64,4270,HIGH
50,94,47963.64,98448.19,174.96,41,31,72,4730,HIGH
45,83,50118.3,99064.43,1459.78,42,22,63,4220,HIGH
38,80,52179.33,99266.31,5779.78,42,18,57,3900,HIGH
82,97,49866.96,99917.28,1501.3,47,18,82,5050,HIGH
80,81,52763.52,98455.06,870.95,46,25,57,4160,HIGH
73,86,51957.22,98925.12,1011.72,48,25,69,4700,HIGH
25,94,43324.75,99887.55,363.79,38,20,72,4420,HIGH
24,83,54591.33,98794.69,1233.7,49,21,68,4610,HIGH
70,81,53068.07,99129.57,220.42,45,16,71,4510,HIGH
62,94,52862.76,98426.86,1237.47,57,20,68,4830,HIGH
95,68,50397.17,98140.39,835.7,37,15,51,3450,HIGH
29,102,50549.45,98848.77,2082.74,52,27,83,5420,HIGH
21,94,48056.05,97943.23,155.8,45,25,74,4810,HIGH
98,75,47491.35,95911.54,2548.17,32,13,64,3780,HIGH
60,71,53386.05,99612.51,2080.57,34,26,56,3780,HIGH
32,86,51153.7,98027.72,944.34,46,25,74,4840,HIGH
90,64,44975.92,98642.57,105.61,25,15,54,3210,HIGH
75,78,44957.55,98652.6,686.53,34,24,60,3900,HIGH
56,88,57021.48,99587.7,1613.37,56,24,66,4800,HIGH
58,87,50634.94,98257.63,3428.18,44,26,68,4560,HIGH
11,83,49769.14,97401.67,895.54,42,18,65,4220,HIGH
33,76,51757.84,98288.22,484.6,40,12,61,3880,HIGH
83,98,54059.42,99112.86,748.32,56,30,68,5000,HIGH
68,89,50817.95,99719.49,664.11,43,18,75,4650,HIGH
71,69,53981.21,99504.48,782.91,40,14,54,3640,HIGH
14,83,49488.62,98785.76,445.1,42,22,67,4380,HIGH
42,77,50498.05,99325.38,612.36,39,22,71,4450,HIGH
2,85,45234.85,98097.1,620.32,37,21,72,4410,HIGH
79,87,58477.39,99723.2,1709.85,53,17,71,4770,HIGH
30,94,46432.16,99116.28,1025.57,41,22,67,4350,HIGH
99,85,50027.07,98066.92,2784.79,40,20,73,4520,HIGH
66,83,51427.47,98163.61,3377.88,48,22,63,4400,HIGH
46,73,48837.37,98091.56,703.51,35,16,67,4050,HIGH
67,81,49110.49,99416.82,514.94,37,15,62,3890,HIGH
18,89,54415.91,98883.6,1886.0,50,24,76,5020,HIGH
74,93,50853.93,99349.98,294.16,48,21,74,4820,HIGH
36,106,52244.02,98476.65,467.0,57,22,82,5430,HIGH
