transaction_id,customer_id,account_id,amount,merchant,transaction_type,country,device_id,transaction_time,high_amount_flag,transaction_hour,night_transaction_flag,transaction_month,international_transaction_flag
10102,92,1165,80663.64,Nike,ATM WITHDRAWAL,Germany,Tablet,2026-05-07T18:05:08.000+05:30,YES,18,NO,5,YES
10106,30,1006,49753.8,Zomato,UPI,Singapore,ATM,2026-04-22T12:49:09.000+05:30,NO,12,NO,4,YES
10538,100,1144,98988.76,Zomato,CARD,USA,Tablet,2026-04-26T06:55:00.000+05:30,YES,6,NO,4,YES
10547,87,1018,14084.18,Walmart,ATM WITHDRAWAL,UK,Mobile,2026-04-25T19:27:01.000+05:30,NO,19,NO,4,YES
10722,29,1108,89416.69,Uber,ATM WITHDRAWAL,Singapore,Laptop,2026-05-15T23:22:23.000+05:30,YES,23,NO,5,YES
10736,82,1098,85782.87,Walmart,UPI,India,Laptop,2026-04-21T20:45:44.000+05:30,YES,20,NO,4,NO
10815,2,1121,18483.29,Amazon,UPI,Singapore,Mobile,2026-04-28T12:28:44.000+05:30,NO,12,NO,4,YES
11353,94,1171,40340.05,Walmart,UPI,Germany,Laptop,2026-05-11T08:46:18.000+05:30,NO,8,NO,5,YES
11626,73,1089,35587.48,Swiggy,ATM WITHDRAWAL,Singapore,Mobile,2026-04-28T22:35:57.000+05:30,NO,22,NO,4,YES
11764,23,1005,9456.51,Uber,CARD,UK,ATM,2026-05-09T00:04:40.000+05:30,NO,0,YES,5,YES
12633,96,1121,77454.76,Walmart,UPI,USA,Laptop,2026-05-02T10:35:27.000+05:30,YES,10,NO,5,YES
12947,91,1161,89894.56,Zomato,ATM WITHDRAWAL,Singapore,Tablet,2026-05-10T12:34:37.000+05:30,YES,12,NO,5,YES
13028,62,1161,84514.53,Swiggy,NET BANKING,UK,Mobile,2026-05-03T12:53:35.000+05:30,YES,12,NO,5,YES
13397,62,1194,22058.52,Uber,CARD,India,Laptop,2026-05-18T01:46:35.000+05:30,NO,1,YES,5,NO
13490,37,1113,96681.25,Apple Store,UPI,UK,Mobile,2026-04-27T21:35:36.000+05:30,YES,21,NO,4,YES
14196,55,1005,4523.01,Swiggy,ATM WITHDRAWAL,USA,Tablet,2026-04-30T10:55:56.000+05:30,NO,10,NO,4,YES
14395,50,1020,73759.94,Flipkart,ATM WITHDRAWAL,Germany,Laptop,2026-04-27T15:44:38.000+05:30,YES,15,NO,4,YES
14415,53,1135,91785.89,Uber,ATM WITHDRAWAL,UK,Laptop,2026-04-21T03:17:55.000+05:30,YES,3,YES,4,YES
14421,42,1052,30673.83,Netflix,CARD,Singapore,ATM,2026-04-28T06:25:57.000+05:30,NO,6,NO,4,YES
14600,85,1001,56275.93,Amazon,NET BANKING,India,Tablet,2026-04-27T23:07:12.000+05:30,YES,23,NO,4,NO
14702,21,1017,86772.85,Swiggy,CARD,India,ATM,2026-05-07T08:06:27.000+05:30,YES,8,NO,5,NO
15312,13,1099,96105.52,Swiggy,CARD,USA,Mobile,2026-04-23T18:20:13.000+05:30,YES,18,NO,4,YES
15604,73,1132,72473.38,Walmart,CARD,Germany,Mobile,2026-05-13T19:55:56.000+05:30,YES,19,NO,5,YES
15836,31,1128,47953.04,Apple Store,NET BANKING,USA,Mobile,2026-04-24T16:00:35.000+05:30,NO,16,NO,4,YES
16373,86,1102,48462.14,Uber,UPI,Germany,ATM,2026-05-05T16:11:33.000+05:30,NO,16,NO,5,YES
16830,79,1052,6382.63,Uber,CARD,Singapore,Tablet,2026-04-30T12:34:27.000+05:30,NO,12,NO,4,YES
