transaction_id,customer_id,account_id,amount,merchant,transaction_type,country,device_id,transaction_time,high_amount_flag,transaction_hour,night_transaction_flag,transaction_month,international_transaction_flag
10102,92,1165,80663.64,Nike,ATM WITHDRAWAL,Germany,Tablet,2026-05-07T18:05:08.000+05:30,YES,18,NO,5,YES
10538,100,1144,98988.76,Zomato,CARD,USA,Tablet,2026-04-26T06:55:00.000+05:30,YES,6,NO,4,YES
10722,29,1108,89416.69,Uber,ATM WITHDRAWAL,Singapore,Laptop,2026-05-15T23:22:23.000+05:30,YES,23,NO,5,YES
12633,96,1121,77454.76,Walmart,UPI,USA,Laptop,2026-05-02T10:35:27.000+05:30,YES,10,NO,5,YES
12947,91,1161,89894.56,Zomato,ATM WITHDRAWAL,Singapore,Tablet,2026-05-10T12:34:37.000+05:30,YES,12,NO,5,YES
13028,62,1161,84514.53,Swiggy,NET BANKING,UK,Mobile,2026-05-03T12:53:35.000+05:30,YES,12,NO,5,YES
13490,37,1113,96681.25,Apple Store,UPI,UK,Mobile,2026-04-27T21:35:36.000+05:30,YES,21,NO,4,YES
14395,50,1020,73759.94,Flipkart,ATM WITHDRAWAL,Germany,Laptop,2026-04-27T15:44:38.000+05:30,YES,15,NO,4,YES
14415,53,1135,91785.89,Uber,ATM WITHDRAWAL,UK,Laptop,2026-04-21T03:17:55.000+05:30,YES,3,YES,4,YES
15312,13,1099,96105.52,Swiggy,CARD,USA,Mobile,2026-04-23T18:20:13.000+05:30,YES,18,NO,4,YES
15604,73,1132,72473.38,Walmart,CARD,Germany,Mobile,2026-05-13T19:55:56.000+05:30,YES,19,NO,5,YES
18289,5,1046,89101.49,Swiggy,ATM WITHDRAWAL,Germany,Laptop,2026-05-12T18:29:01.000+05:30,YES,18,NO,5,YES
10116,56,1181,61759.0,Swiggy,UPI,UK,ATM,2026-05-07T12:38:11.000+05:30,YES,12,NO,5,YES
10770,69,1042,95530.15,Uber,ATM WITHDRAWAL,UK,Tablet,2026-04-29T20:46:26.000+05:30,YES,20,NO,4,YES
11434,12,1081,67337.37,Apple Store,UPI,UK,Tablet,2026-04-28T09:12:52.000+05:30,YES,9,NO,4,YES
11755,3,1060,71175.11,Netflix,UPI,USA,Laptop,2026-05-09T06:47:01.000+05:30,YES,6,NO,5,YES
12031,89,1184,72334.77,Apple Store,ATM WITHDRAWAL,Germany,Mobile,2026-05-06T16:21:10.000+05:30,YES,16,NO,5,YES
12266,72,1134,66694.82,Apple Store,UPI,Germany,ATM,2026-04-19T21:26:31.000+05:30,YES,21,NO,4,YES
12316,12,1151,69673.02,Swiggy,CARD,Germany,ATM,2026-05-03T20:52:01.000+05:30,YES,20,NO,5,YES
12352,25,1151,69219.42,Swiggy,NET BANKING,Singapore,Laptop,2026-04-28T07:25:30.000+05:30,YES,7,NO,4,YES
12359,91,1197,93573.34,Amazon,UPI,USA,Tablet,2026-04-28T04:05:44.000+05:30,YES,4,YES,4,YES
12367,30,1182,73987.5,Zomato,UPI,USA,ATM,2026-05-05T02:42:31.000+05:30,YES,2,YES,5,YES
